TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.7, 32) AVG: 0.745229485614101 VAR: 0.00034856999455790995 F1: 0.7429520235657181 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.3, 32) AVG: 0.7491546914623837 VAR: 0.0008240780702416703 F1: 0.7466069154003345 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.5, 32) AVG: 0.7386196424657964 VAR: 0.0005693037627066225 F1: 0.7366971691909234 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.7, 32) AVG: 0.7452177452177451 VAR: 0.0007911691718584476 F1: 0.743947550266871 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.3, 32) AVG: 0.7360093610093609 VAR: 0.0007330188133797197 F1: 0.7320456489184652 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.5, 32) AVG: 0.7386509501894117 VAR: 0.0007856430145994077 F1: 0.734808654408693 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.7, 32) AVG: 0.7419421746344823 VAR: 0.00025388008294593235 F1: 0.7399810649647438 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.3, 32) AVG: 0.7300804608496915 VAR: 0.0008210128837433258 F1: 0.7258474488427649 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.5, 32) AVG: 0.7353714661406969 VAR: 0.0010893937155668524 F1: 0.7333685175009144 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.7, 32) AVG: 0.7472096991327761 VAR: 0.0007213633245583986 F1: 0.7447684653688887 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.3, 32) AVG: 0.7201989605835759 VAR: 0.0003468859951244537 F1: 0.7174165194058445 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.5, 32) AVG: 0.7392692777308161 VAR: 0.0007653104780952287 F1: 0.7358987206772581 SEED: 23423
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.7, 32) AVG: 0.7504852697160389 VAR: 0.0007855495611767383 F1: 0.7482957949116382 SEED: 23423
