TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7577095269402963 VAR: 0.0007794248241780111 F1: 0.7572928750188475 SEED: 17756
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7399619611158074 VAR: 0.0005475207224887517 F1: 0.7383418911674022 SEED: 20982
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.741269058576751 VAR: 0.0008286281890499285 F1: 0.7390843042966474 SEED: 20982
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7359819667511975 VAR: 0.0015416738220561611 F1: 0.7344810578544729 SEED: 10770
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7485128831282677 VAR: 0.000844152024709085 F1: 0.746916045851705 SEED: 10770
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7485246235246235 VAR: 0.00032496992697651143 F1: 0.7472434283941453 SEED: 10740
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7472292664600357 VAR: 0.00043066865790493294 F1: 0.7460533831474344 SEED: 10740
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7577290942675557 VAR: 0.0014378333164111268 F1: 0.7553565985116816 SEED: 1653
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7557567076797846 VAR: 0.0011609013279460963 F1: 0.7539140286167105 SEED: 1653
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7484894023355562 VAR: 0.0006311365719818332 F1: 0.7467999512528913 SEED: 2581
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7583552487398642 VAR: 0.0009058161216106269 F1: 0.7569911427456453 SEED: 2581
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7426309445540215 VAR: 0.0012303299615784421 F1: 0.7409320842142163 SEED: 10174
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.751823674900598 VAR: 0.0007752360524779863 F1: 0.7507604339804097 SEED: 10174
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7478632478632479 VAR: 0.00100612561327389 F1: 0.745931623103162 SEED: 18880
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.751127078050155 VAR: 0.0006610525716666134 F1: 0.749771289350068 SEED: 18880
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7498825960364423 VAR: 0.0008422852229070673 F1: 0.749389968962465 SEED: 28842
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7525241852164929 VAR: 0.0008161565832198946 F1: 0.752225263977545 SEED: 28842
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7438715131022823 VAR: 0.0016462493047175609 F1: 0.7421710016944811 SEED: 17753
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7379582668044207 VAR: 0.0017588448124737377 F1: 0.7364958414155254 SEED: 17753
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7577877962493349 VAR: 0.0008768746901162917 F1: 0.755733272313044 SEED: 30982
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7578151905074981 VAR: 0.0016627250726840579 F1: 0.7556079201731448 SEED: 30982
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.740615509846279 VAR: 0.0015876738878493322 F1: 0.7382341072383738 SEED: 9650
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7518041075733384 VAR: 0.0023482402034022466 F1: 0.7500230944311872 SEED: 9650
