TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.5, 32) AVG: 0.7551031589493128 VAR: 0.00039627764521077446 F1: 0.7519987920763911 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.5, 32) AVG: 0.7577330077330078 VAR: 0.0004947909688290394 F1: 0.755500021019118 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.7, 32) AVG: 0.7623508969662816 VAR: 0.0006067514466413398 F1: 0.7604976262927519 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.7, 32) AVG: 0.7643232835540528 VAR: 0.0003071050386653914 F1: 0.7627410155118065 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.7, 32) AVG: 0.758413950721643 VAR: 0.0007513038898429765 F1: 0.7561902974265116 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.3, 32) AVG: 0.7485207100591716 VAR: 0.0002960133027920278 F1: 0.7465719391199612 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.3, 32) AVG: 0.7557684480761403 VAR: 0.00025946275333667474 F1: 0.7535419986060293 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.3, 32) AVG: 0.7504970101123948 VAR: 0.000491680357412368 F1: 0.7486405868911411 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.5, 32) AVG: 0.7577525750602674 VAR: 0.0007355535422006535 F1: 0.7558650696387169 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.5, 32) AVG: 0.757729094267556 VAR: 0.00039541634832712387 F1: 0.7555748224522708 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.5, 32) AVG: 0.7557801884724962 VAR: 0.0005103914418082602 F1: 0.7530933922557231 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.7, 32) AVG: 0.746575717729564 VAR: 0.0005359666203698342 F1: 0.745021268136965 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.7, 32) AVG: 0.7544652640806487 VAR: 0.0004110444805789344 F1: 0.7518708195393474 SEED: 14508
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.7, 32) AVG: 0.7485520177827871 VAR: 0.0009192975818791923 F1: 0.746498092675796 SEED: 14508
