TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 480, 0.2) AVG: 0.7412299239222316 VAR: 0.0009142848824124158 F1: 0.7399363307252835 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 480, 0.3) AVG: 0.7326907423061269 VAR: 0.00045492440033577175 F1: 0.7316895323964068 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 512, 0.01) AVG: 0.7405802886572118 VAR: 0.0008919991663114202 F1: 0.7390901408750633 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 512, 0.2) AVG: 0.7372968911430449 VAR: 0.0012228849001666919 F1: 0.7359562634851632 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 512, 0.3) AVG: 0.73927710466172 VAR: 0.0006985999270000058 F1: 0.7378451286566093 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 544, 0.01) AVG: 0.7445641964872735 VAR: 0.0008865217726868897 F1: 0.7422796849464821 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 544, 0.2) AVG: 0.7339978397670706 VAR: 0.0009749413915267784 F1: 0.7321812811518553 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 544, 0.3) AVG: 0.7359545724930341 VAR: 0.0011555495803195297 F1: 0.7341201295443661 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 576, 0.01) AVG: 0.7445641964872733 VAR: 0.0010299173660467203 F1: 0.7421626387704993 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 576, 0.2) AVG: 0.737942612942613 VAR: 0.0009189040728260886 F1: 0.7363425459820916 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.0005, 576, 0.3) AVG: 0.7339821859052628 VAR: 0.0010320631497476777 F1: 0.732452548508644 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.2) AVG: 0.7445563695563696 VAR: 0.0009329461004785457 F1: 0.7422207444128137 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.2) AVG: 0.745233399079553 VAR: 0.0009947295335107722 F1: 0.7427880828744089 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.2) AVG: 0.7445563695563696 VAR: 0.0009329461004785457 F1: 0.7422207444128137 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.2) AVG: 0.7313914717760871 VAR: 0.000363977649020023 F1: 0.7304503392884523 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.2) AVG: 0.7313914717760871 VAR: 0.000363977649020023 F1: 0.7304503392884523 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.2) AVG: 0.7313914717760871 VAR: 0.000363977649020023 F1: 0.7304503392884523 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.1) AVG: 0.7498512883128269 VAR: 0.0006907290720685856 F1: 0.7486256939616059 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.2) AVG: 0.7478710747941517 VAR: 0.0007204013148416658 F1: 0.7466737650674052 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.3) AVG: 0.7584100372561912 VAR: 0.0006701899946174851 F1: 0.7572438690502894 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.4) AVG: 0.7478749882596037 VAR: 0.0007821577318401993 F1: 0.7467427983412067 SEED: 4419
