TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.7, 32) AVG: 0.7518041075733382 VAR: 0.00016244404124220993 F1: 0.750394560762626 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.7, 32) AVG: 0.7518197614351461 VAR: 0.00040432967909830253 F1: 0.7504832293222161 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.7, 32) AVG: 0.7537804076265615 VAR: 0.00043322828926032383 F1: 0.7523948044237989 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.3, 32) AVG: 0.7518354152969537 VAR: 0.0009720717496532516 F1: 0.7490823659517122 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.3, 32) AVG: 0.7564180833411602 VAR: 0.0004477278435513928 F1: 0.7542055085592928 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.3, 32) AVG: 0.7557567076797846 VAR: 0.0003828395576221494 F1: 0.7535990838879078 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.5, 32) AVG: 0.7524889640274256 VAR: 0.0005098639552819503 F1: 0.7503046078112172 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.5, 32) AVG: 0.7544691775461008 VAR: 0.000502664029150965 F1: 0.7520316344180845 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.5, 32) AVG: 0.7570794590025359 VAR: 0.0006526285312834072 F1: 0.7549099074089813 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.7, 32) AVG: 0.7597093077862309 VAR: 0.00027391005212493397 F1: 0.7583081048358165 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.7, 32) AVG: 0.7491899126514511 VAR: 0.00043699261517931985 F1: 0.747647424261092 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.7, 32) AVG: 0.7531346858269936 VAR: 0.0005017384696384191 F1: 0.7502527665243991 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.3, 32) AVG: 0.7636579944272253 VAR: 0.00041695713252405523 F1: 0.7610094580293905 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.3, 32) AVG: 0.7676105945336715 VAR: 0.00034014151276326996 F1: 0.7653581994269616 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.3, 32) AVG: 0.7511622992392222 VAR: 0.0005399485141882789 F1: 0.7494247057486032 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.5, 32) AVG: 0.7498473748473748 VAR: 0.0008247112929905492 F1: 0.7477305524944787 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.5, 32) AVG: 0.7518158479696943 VAR: 0.0003816930302331265 F1: 0.749259360184192 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.5, 32) AVG: 0.7590401051939515 VAR: 0.00036384532558969546 F1: 0.7571883676671883 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.7, 32) AVG: 0.7551188128111206 VAR: 0.00023309626840957424 F1: 0.7536614062791243 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.7, 32) AVG: 0.7518354152969539 VAR: 0.0006610328456737584 F1: 0.7500282898668263 SEED: 17918
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.7, 32) AVG: 0.7518354152969537 VAR: 0.0006688134633769983 F1: 0.7502318555522304 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.3, 32) AVG: 0.7577564885257193 VAR: 0.00038263022930667344 F1: 0.756561705893519 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.3, 32) AVG: 0.7498317209855672 VAR: 0.0005757265030974005 F1: 0.7483436869982447 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.3, 32) AVG: 0.7557801884724962 VAR: 0.0002923483419674719 F1: 0.754253853966413 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.5, 32) AVG: 0.7465209292132369 VAR: 0.0007262135296275161 F1: 0.7456929161522361 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.5, 32) AVG: 0.7564102564102565 VAR: 0.0005286886172888734 F1: 0.7552089779990447 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.5, 32) AVG: 0.761685607839454 VAR: 0.0004802818884762034 F1: 0.7603982546687773 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.7, 32) AVG: 0.7406194233117309 VAR: 0.0007939907545972094 F1: 0.7395295440426327 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.7, 32) AVG: 0.7537647537647537 VAR: 0.0006204528333519768 F1: 0.7523553365614686 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.7, 32) AVG: 0.7570598916752763 VAR: 0.001209921921079873 F1: 0.7556908618548769 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.3, 32) AVG: 0.7485050561973637 VAR: 0.0005375375016486148 F1: 0.7459132840982904 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.3, 32) AVG: 0.7577290942675557 VAR: 0.00012290892456365816 F1: 0.755512006571833 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 512, 0.3, 32) AVG: 0.745229485614101 VAR: 0.0004964017309194602 F1: 0.7434373107060464 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.5, 32) AVG: 0.7471979587364203 VAR: 0.00047717789323104855 F1: 0.74415551029747 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.5, 32) AVG: 0.7471862183400645 VAR: 0.0005215253557750422 F1: 0.7451263899072176 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 512, 0.5, 32) AVG: 0.7577212673366519 VAR: 0.00046982475372078374 F1: 0.7557857808569425 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.7, 32) AVG: 0.7498434613819229 VAR: 0.0001184796734072679 F1: 0.7483145375705779 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.7, 32) AVG: 0.7485481043173351 VAR: 0.0009285939460985766 F1: 0.7466771141827189 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 512, 0.7, 32) AVG: 0.7452412260104567 VAR: 0.0005452818222997859 F1: 0.7428540198103265 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 128, 0.3, 32) AVG: 0.7511583857737705 VAR: 0.00048711326934938726 F1: 0.7494259732380867 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 256, 0.3, 32) AVG: 0.7518041075733383 VAR: 0.00018541428605175928 F1: 0.7495794914749425 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 512, 0.3, 32) AVG: 0.7458986882063805 VAR: 0.0003079626905286229 F1: 0.7444625413227236 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 128, 0.5, 32) AVG: 0.7425996368304061 VAR: 0.00047217478108688604 F1: 0.7408739788595999 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 256, 0.5, 32) AVG: 0.7531112050342821 VAR: 0.0005218940848153849 F1: 0.7501019304020295 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 512, 0.5, 32) AVG: 0.7564219968066123 VAR: 0.0005930532148643423 F1: 0.7540721686571127 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 128, 0.7, 32) AVG: 0.7399815284430669 VAR: 0.00041309365592358493 F1: 0.7370739640612946 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 256, 0.7, 32) AVG: 0.7445876772799849 VAR: 0.0004297523181499167 F1: 0.7420505346536655 SEED: 26068
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 512, 0.7, 32) AVG: 0.7518315018315019 VAR: 0.0004057210048334315 F1: 0.7488439572976643 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.3, 32) AVG: 0.752465483234714 VAR: 0.00035890855894323833 F1: 0.751072176280546 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.3, 32) AVG: 0.7636619078926772 VAR: 0.00045552683950884454 F1: 0.762189306890096 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.3, 32) AVG: 0.7649807457499765 VAR: 0.0002795065062063346 F1: 0.7634709450553564 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.5, 32) AVG: 0.7517962806424344 VAR: 0.0005716978672524116 F1: 0.7505151431726741 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.5, 32) AVG: 0.7570833724679878 VAR: 0.0005368451009211742 F1: 0.7557597109418254 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.5, 32) AVG: 0.7669609592686516 VAR: 0.0004891399313326281 F1: 0.7655642531835734 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.7, 32) AVG: 0.7531229454306377 VAR: 0.00015765895645384947 F1: 0.7518206427300329 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.7, 32) AVG: 0.7504774427851351 VAR: 0.0002691679418210071 F1: 0.7489066376209004 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.7, 32) AVG: 0.7630044456967534 VAR: 0.0004205397894001636 F1: 0.7614638572954651 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.3, 32) AVG: 0.7564219968066123 VAR: 0.0005619307440513846 F1: 0.7532350682319446 SEED: 26068
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.3, 32) AVG: 0.7524537428383583 VAR: 0.0004102313040908963 F1: 0.7500963394637146 SEED: 26068
