TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7550561973638897 VAR: 0.0011767674585899523 F1: 0.7542189444429596 SEED: 7137
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7538469365392442 VAR: 0.001345706619914112 F1: 0.7526946031294364 SEED: 28331
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.759110547572086 VAR: 0.0010350559259244265 F1: 0.7579414266317733 SEED: 28331
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7564180833411602 VAR: 0.0008829779245575916 F1: 0.7556869909172499 SEED: 9733
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7630200995585612 VAR: 0.0007785982315643977 F1: 0.7619120403144353 SEED: 9733
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7479023825177672 VAR: 0.0010339879962025834 F1: 0.7467197914304244 SEED: 17150
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.75513838013838 VAR: 0.0011062350270096286 F1: 0.7543762262502024 SEED: 17150
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7492329607714223 VAR: 0.0011469256764217654 F1: 0.7474004698168882 SEED: 17827
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7557958423343039 VAR: 0.0007469732380204334 F1: 0.7546225045939221 SEED: 17827
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7498591152437306 VAR: 0.0011041375781172475 F1: 0.7488486315307741 SEED: 26839
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7630474938167245 VAR: 0.0010428605578798363 F1: 0.7619933469559846 SEED: 26839
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7577838827838828 VAR: 0.001406081451652251 F1: 0.7564032509362049 SEED: 3794
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7676692965154504 VAR: 0.0010826813338896916 F1: 0.7665467273336658 SEED: 3794
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7419186938417707 VAR: 0.000375215522644797 F1: 0.7413032708607422 SEED: 12534
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7577173538711999 VAR: 0.0005028134443577099 F1: 0.7566772373318515 SEED: 12534
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.74721752606368 VAR: 0.0009270358989673206 F1: 0.7441894616844966 SEED: 8382
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7505126639742025 VAR: 0.0007962234674405914 F1: 0.7483056113825454 SEED: 8382
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7472331799254875 VAR: 0.0008730300512263886 F1: 0.7460005220941351 SEED: 6690
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7603628565167027 VAR: 0.0005872527009003405 F1: 0.759142061069704 SEED: 6690
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7491781722550954 VAR: 0.0005763335980948745 F1: 0.7475622283990521 SEED: 12201
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7570911993988916 VAR: 0.0004233577883793547 F1: 0.7559975682680258 SEED: 12201
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7432766663535895 VAR: 0.00046344667248774123 F1: 0.7428016512617637 SEED: 10230
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7504930966469426 VAR: 0.00027581854193359045 F1: 0.750159888591619 SEED: 10230
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7432688394226856 VAR: 0.0016258004951250676 F1: 0.7419160589485702 SEED: 14448
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7636893021508407 VAR: 0.0015547652957703462 F1: 0.7625846061323576 SEED: 14448
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7399971823048745 VAR: 0.0009290645825585238 F1: 0.7375784320385932 SEED: 21566
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.755784101937948 VAR: 0.0007453033898427203 F1: 0.7536343196287921 SEED: 21566
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7254351773582544 VAR: 0.0009472530200350482 F1: 0.7242217425642976 SEED: 24733
