,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
/home/lucas/Lux/res/readability/input_texts/012.txt,78.2864039408867,99.86128078817734,8.760405965517247,-104.64743842364528,83.95862068965518,216.30049261083744,23.493901531919196,27.0,17.594462561576357,4.201970443349754,1.2463054187192117,203.0,1.0,0.6699507389162561,853,253,203,136,1,1,27,14,50,11,3,0,0,0,1,0,0,0
/home/lucas/Lux/res/readability/input_texts/013.txt,2.9400000000000013,3.8048333333333346,7.102411149999998,85.85833333333335,2.666666666666667,36.666666666666664,3.0,2.0,9.493666666666666,4.65,1.35,6.666666666666667,1.0,0.5,186,54,40,20,6,6,12,0,14,0,0,0,0,0,0,0,0,0
/home/lucas/Lux/res/readability/input_texts/014.txt,4.929338235294118,6.020250257997937,7.868463959752322,83.6924387254902,8.479308565531477,32.03418472652219,8.590169943749475,2.5,9.632547265221879,4.3993808049535605,1.2941176470588236,13.458333333333334,1.0,0.56656346749226,1421,418,323,183,24,24,60,25,109,14,2,0,0,0,1,0,1,0
/home/lucas/Lux/res/readability/input_texts/015.txt,-4.072222222222221,0.14833333333333343,2.4607282777777755,134.94500000000002,2.4000000000000004,17.11111111111111,3.0,0.6666666666666666,15.337988888888887,3.9444444444444446,0.7777777777777778,6.0,1.0,0.9444444444444444,71,14,18,17,3,3,2,0,13,0,0,0,0,0,0,0,0,0
/home/lucas/Lux/res/readability/input_texts/016.txt,18.786575342465756,24.759668949771687,10.87616320890411,47.052716894977195,22.206392694063926,71.95433789954338,13.0,11.333333333333334,12.755709132420092,4.640410958904109,1.3047945205479452,48.666666666666664,1.0,0.565068493150685,1355,381,292,165,6,6,68,20,124,9,3,0,0,0,2,0,3,0
/home/lucas/Lux/res/readability/input_texts/017.txt,2.7883030303030303,4.295454545454547,5.833494000000002,98.58245454545457,7.098181818181819,31.381818181818183,7.242640687119285,2.4,9.554553333333333,4.0606060606060606,1.121212121212121,13.2,1.0,0.7575757575757576,268,74,66,50,5,5,12,3,22,0,0,0,0,0,0,0,0,0
/home/lucas/Lux/res/readability/input_texts/018.txt,12.231775956284153,16.289016393442623,11.27890224590164,61.69061475409839,17.008743169398908,56.72950819672131,13.488088481701515,8.0,11.016622404371585,4.770491803278689,1.349726775956284,30.5,1.0,0.6338797814207651,873,247,183,116,6,6,48,22,68,5,4,0,0,0,6,0,1,0
/home/lucas/Lux/res/readability/input_texts/019.txt,15.378411764705884,18.752140245928878,12.607966734795614,44.35540096377537,17.560771020272515,61.648687271518774,13.246950765959598,9.433333333333334,11.387245975407112,4.982053838484546,1.5194416749750748,33.43333333333333,1.0,0.5194416749750748,4997,1524,1003,521,30,30,283,105,387,30,8,0,3,7,14,1,3,1
/home/lucas/Lux/res/readability/input_texts/020.txt,13.897261121856868,16.62936814958092,9.339486495164415,56.81496969696971,16.881444229529336,54.3892972275951,11.94427190999916,6.866666666666666,10.47703312701483,4.421663442940039,1.3597678916827853,34.46666666666667,1.0,0.44294003868471954,2286,703,517,229,15,15,103,40,168,17,5,0,3,1,4,0,2,0
/home/lucas/Lux/res/readability/input_texts/021.txt,15.870270270270272,19.117891891891894,10.923599059459463,47.18162162162165,19.98918918918919,59.7027027027027,15.0,8.4,11.275591891891892,4.681081081081081,1.4432432432432432,37.0,1.0,0.5702702702702702,1732,534,370,211,10,10,84,48,136,9,6,0,0,2,7,1,2,0
/home/lucas/Lux/res/readability/input_texts/022.txt,14.524555480149306,16.551581269087208,11.860365788598582,44.48922209026129,17.44424838819138,53.824397692568716,14.051825964195109,7.142857142857143,11.691582049541907,4.871733966745843,1.5581947743467934,30.071428571428573,1.0,0.5581947743467933,2051,656,421,235,14,14,100,57,175,22,2,0,1,2,6,0,2,0
/home/lucas/Lux/res/readability/input_texts/023.txt,8.463433133732536,10.438855622089157,10.806831514970064,67.43344644045244,10.296473719228212,38.31603459747173,9.32455532033676,3.6666666666666665,11.175418429807053,4.796407185628743,1.4251497005988023,18.555555555555557,1.0,0.7485029940119761,801,238,167,125,9,9,33,12,70,2,6,0,3,2,2,0,1,0
/home/lucas/Lux/res/readability/input_texts/024.txt,13.705539731229916,16.8299698120557,11.245216091586329,53.251904883630374,16.937199337812835,55.708467231473364,13.062305898749054,7.611111111111111,11.359863462849352,4.75854513584575,1.4351446099912357,31.694444444444443,1.0,0.35451358457493426,10859,3275,2282,809,72,72,548,243,889,47,10,8,4,16,25,1,7,2
/home/lucas/Lux/res/readability/input_texts/025.txt,17.71157320214518,21.92567459144461,12.02787126489591,41.05243729149953,21.269785904311476,67.67554157341328,15.24744871391589,10.941176470588236,11.064219065917824,4.855707106963388,1.4680545585068199,40.970588235294116,0.9444444444444444,0.3589375448671931,6764,2045,1393,500,34,36,372,170,476,51,10,1,2,0,13,2,10,4
/home/lucas/Lux/res/readability/input_texts/026.txt,103.37151515151515,131.67579545454544,10.435091655303033,-175.84772727272724,110.75151515151515,283.3181818181818,34.937438845342626,51.0,21.037263636363633,4.481060606060606,1.356060606060606,264.0,1.0,0.6628787878787878,1183,358,264,175,1,1,51,34,72,10,1,0,0,0,2,0,0,0
/home/lucas/Lux/res/readability/input_texts/027.txt,18.491612903225803,23.79030107526882,7.82876437419355,54.51075268817207,22.666666666666668,65.86021505376344,11.803408430829505,7.333333333333333,9.764650537634408,4.116129032258065,1.1806451612903226,51.666666666666664,1.0,0.46774193548387094,2552,732,620,290,12,12,88,31,140,29,10,0,2,3,4,0,0,1
/home/lucas/Lux/res/readability/input_texts/028.txt,12.743031855230694,15.877101809616391,11.691871275723475,55.22925446795784,17.070485306214014,56.70354445524565,13.922560394952978,8.034883720930232,12.718927477005908,4.84967845659164,1.444935691318328,28.930232558139537,1.0,0.38102893890675243,12066,3595,2488,948,86,86,691,342,1205,60,12,0,3,22,48,0,18,3
/home/lucas/Lux/res/readability/input_texts/029.txt,6.542261904761904,8.596874999999997,7.167160175595239,85.56107142857144,10.304761904761905,33.79761904761905,8.477225575051662,2.6875,8.202653571428572,4.145833333333333,1.181547619047619,21.0,1.0,0.5476190476190477,1393,397,336,184,16,16,43,16,75,17,5,0,0,0,2,0,0,0
