filename,nbWord,nbConcepts,nbUniqueConcepts,conceptsWordsRatio,uniqueConceptsWordsRatio,nbNodes,radius,diameter,assortativity,density,textDensityMean,textDensityStd,nbTypesMean,nbTypesStd,nbLinkInMean,nbLinkInStd,nbLinkOutMean,nbLinkOutStd,nbNodes_DBPedia,density_DBPedia,nbNodes_Schema,density_Schema,nbNodes_yago,density_yago
65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
77,1467.0,93.0,37.0,0.06339468302658487,0.025221540558963872,325.0,4.0,8.0,-0.40124155567715397,0.01439696106362773,3.5109953029208643,4.125575631813798,14.35135135135135,15.411852610135883,20783.08108108108,99824.33020152259,338.18918918918916,366.144841952651,63.0,0.03789042498719918,49.0,0.02465986394557823,285.0,0.0156412157153447
1276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1365,1746.0,89.0,40.0,0.05097365406643757,0.022909507445589918,601.0,4.0,8.0,-0.32070769784379943,0.007759290072102052,2.915083440011926,3.741707511914095,23.325,27.852636769253998,25216.7,96706.3293828796,460.6,439.7918143849428,77.0,0.0393028024606972,55.0,0.028956228956228958,546.0,0.008179587996101757
134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
764,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
980,1837.0,100.0,43.0,0.05443658138268917,0.023407729994556342,585.0,4.0,7.0,-0.24175979796634148,0.009237794169301018,3.8096573636410214,4.621303638711553,27.58139534883721,25.458797134612894,20922.627906976744,93318.9381098744,429.09302325581393,372.2352228284096,82.0,0.038542607648298706,54.0,0.029350104821802937,533.0,0.009818166429206224
635,1084.0,65.0,39.0,0.05996309963099631,0.035977859778597784,415.0,5.0,9.0,-0.23927028735128078,0.011850299749723531,4.034061056308504,4.606982807413283,18.897435897435898,23.55549353073843,3400.153846153846,7732.744470965948,340.6666666666667,307.6065029932896,77.0,0.03725222146274778,52.0,0.032428355957767725,361.0,0.012942443828870422
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1130,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
710,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1282,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
858,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1153,2382.0,127.0,50.0,0.053316540722082285,0.020990764063811923,474.0,4.0,8.0,-0.2508505663517504,0.011079294564722883,4.390097738519118,5.267003421976128,18.6,20.044949488586894,7298.74,18650.313352659792,336.78,313.45649076067957,88.0,0.03187042842215256,59.0,0.02162478082992402,425.0,0.011753607103218646
1580,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
906,1671.0,149.0,94.0,0.08916816277678037,0.056253740275284264,934.0,5.0,9.0,-0.21324250016964594,0.005749223682670394,3.508736456782584,4.118406883044629,19.680851063829788,19.116781513787906,9762.95744680851,30628.521554512066,403.98936170212767,348.40565421190655,154.0,0.017655547067311775,117.0,0.010610079575596816,847.0,0.006104147303373609
425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
939,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1349,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
775,1007.0,64.0,31.0,0.06355511420059583,0.030784508440913606,487.0,5.0,10.0,-0.2715312555528388,0.009920484024978663,2.539099278534553,3.494792174556191,26.838709677419356,27.947066063557976,5037.1612903225805,9501.63139166205,376.61290322580646,329.1501939177424,71.0,0.0454728370221328,42.0,0.0429732868757259,432.0,0.010763083268883733
1360,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1060,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1028,893.0,66.0,33.0,0.07390817469204927,0.036954087346024636,220.0,4.0,8.0,-0.21487165372592898,0.019178082191780823,2.519560727035183,3.2031240280874353,9.848484848484848,11.898869852423882,1331.4545454545455,2674.7581719170266,238.33333333333334,198.06467671348204,65.0,0.035576923076923075,47.0,0.028677150786308975,171.0,0.022979016167870656
1197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1430,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
79,1737.0,107.0,59.0,0.061600460564191134,0.033966609096142776,591.0,5.0,10.0,-0.2035449495816144,0.008747024577705124,2.6952627815730206,3.273979901477118,19.593220338983052,19.53191099858218,13790.203389830509,79142.18482521054,340.0169491525424,310.8947443840239,104.0,0.029873039581777446,73.0,0.02054794520547945,529.0,0.009194019590995016
726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1267,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
749,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
369,891.0,85.0,48.0,0.09539842873176206,0.05387205387205387,437.0,4.0,8.0,-0.1474999325633517,0.012669787752188608,3.5809073138110463,4.417744857181484,19.708333333333332,14.045993398672646,9895.854166666666,27675.196857166156,436.375,363.4186420300973,91.0,0.0336996336996337,62.0,0.026441036488630356,376.0,0.014099290780141844
142,1157.0,30.0,23.0,0.02592912705272256,0.019878997407087293,495.0,4.0,7.0,-0.39785321272853624,0.011605937921727396,2.9157173238908087,3.1402562125116864,45.43478260869565,40.1007709857104,33161.391304347824,124015.46866270147,645.8260869565217,402.4792354540102,44.0,0.08773784355179703,30.0,0.06436781609195402,465.0,0.012004078605858361
1513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1428,2925.0,123.0,71.0,0.04205128205128205,0.024273504273504273,555.0,5.0,10.0,-0.19965124594942,0.009158617100855368,2.5751357526705636,3.1404835759124925,15.084507042253522,16.235716564495284,11615.492957746479,72493.32215557071,310.76056338028167,308.80320844082013,125.0,0.022838709677419355,87.0,0.014167334937182571,482.0,0.00989466964570699
320,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
170,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1040,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
820,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
1436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
311,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,
