TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7412768855076547 VAR: 0.00048271311709550025 F1: 0.738935198637114 SEED: 28885
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7392966719889797 VAR: 0.0006251439746308893 F1: 0.7374237590968995 SEED: 28885
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7373086315394007 VAR: 0.0007339738087294283 F1: 0.7334195774802941 SEED: 28885
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7379778341316803 VAR: 0.0006558905795147858 F1: 0.736999867082825 SEED: 28885
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7458478131555055 VAR: 0.0004912756682546171 F1: 0.7409465271872877 SEED: 25630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7478554209323439 VAR: 0.0007352453388775164 F1: 0.7455421658093718 SEED: 25630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.8, 32] AVG: 0.7327181365642903 VAR: 0.001117543871326085 F1: 0.7307108268573119 SEED: 25630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.8, 32] AVG: 0.7406389906389905 VAR: 0.000626185837862174 F1: 0.7389802664207406 SEED: 25630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 128, 0.5, 32] AVG: 0.7419382611690304 VAR: 0.0009039224262966125 F1: 0.7403190463541154 SEED: 25630
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 128, 0.5, 32] AVG: 0.7405920290535675 VAR: 0.000551121420684413 F1: 0.7373262857971085 SEED: 25630
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7425996368304061 VAR: 0.0007528344308537598 F1: 0.7391083285942633 SEED: 1146
TrainShape:(1182, 768) #EPOCH: [[], 200, 'only_bert', 0.0005, 512, 0.7, 32] AVG: 0.7373047180739488 VAR: 0.0007356802602634462 F1: 0.7345154332516047 SEED: 1146
