v4
complexity = False
TrainsetLen:(607, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.678294573643411 F1: 0.6629467451887155
TrainsetLen:(607, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.669250645994832 F1: 0.6555421696382713
TrainsetLen:(607, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.678294573643411 F1: 0.6585347867926181
TrainsetLen:(607, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.6808785529715763 F1: 0.6535335311131788
TrainsetLen:(607, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.6757105943152455 F1: 0.6519607182224394
TrainsetLen:(607, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.6705426356589148 F1: 0.6397586622950081
TrainsetLen:(607, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.6627906976744186 F1: 0.6228570733323745
TrainsetLen:(607, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.6563307493540053 F1: 0.6164974178356663

v4.1+EM
TrainsetLen:(946, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.674074074074074 F1: 0.6703324070129344
TrainsetLen:(946, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.6485596707818929 F1: 0.639338397764461
TrainsetLen:(946, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.6707818930041152 F1: 0.6671442876196407
TrainsetLen:(946, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.6460905349794239 F1: 0.6425458279173013
TrainsetLen:(946, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.6691358024691358 F1: 0.663946670750949
TrainsetLen:(946, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.6559670781893004 F1: 0.6528661263352772
TrainsetLen:(946, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.6559670781893004 F1: 0.6539002996416418
TrainsetLen:(946, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.6526748971193416 F1: 0.6429865770706849

V4.1+EM+T2
TrainsetLen:(1040, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.6343843843843844 F1: 0.6176015644743089
TrainsetLen:(1040, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.6486486486486486 F1: 0.6257435641531353
TrainsetLen:(1040, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.6629129129129129 F1: 0.6599054605040238
TrainsetLen:(1040, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.665915915915916 F1: 0.6617933057473417
TrainsetLen:(1040, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.662912912912913 F1: 0.6596231881434502
